DATE,TTLHH
1940-01-01,34949
1941-01-01,.
1942-01-01,.
1943-01-01,.
1944-01-01,.
1945-01-01,.
1946-01-01,.
1947-01-01,39107
1948-01-01,40532
1949-01-01,42182
1950-01-01,43554
1951-01-01,44673
1952-01-01,45538
1953-01-01,46385
1954-01-01,46962
1955-01-01,47874
1956-01-01,48902
1957-01-01,49673
1958-01-01,50474
1959-01-01,51435
1960-01-01,52799
1961-01-01,53557
1962-01-01,54764
1963-01-01,55270
1964-01-01,56149
1965-01-01,57436
1966-01-01,58406
1967-01-01,59236
1968-01-01,60813
1969-01-01,62214
1970-01-01,63401
1971-01-01,64778
1972-01-01,66676
1973-01-01,68251
1974-01-01,69859
1975-01-01,71120
1976-01-01,72867
1977-01-01,74142
1978-01-01,76030
1979-01-01,77330
1980-01-01,80776
1981-01-01,82368
1982-01-01,83527
1983-01-01,83918
1984-01-01,85290
1985-01-01,86789
1986-01-01,88458
1987-01-01,89479
1988-01-01,91124
1989-01-01,92830
1990-01-01,93347
1991-01-01,94312
1992-01-01,95669
1993-01-01,96426
1994-01-01,97107
1995-01-01,98990
1996-01-01,99627
1997-01-01,101018
1998-01-01,102528
1999-01-01,103874
2000-01-01,104705
2001-01-01,108209
2002-01-01,109297
2003-01-01,111278
2004-01-01,112000
2005-01-01,113343
2006-01-01,114384
2007-01-01,116011
2008-01-01,116783
2009-01-01,117181
2010-01-01,117538
2011-01-01,119927
2012-01-01,121084
2013-01-01,122459
2014-01-01,123229
2015-01-01,124587
2016-01-01,125819
2017-01-01,126224
2018-01-01,127586
2019-01-01,128579.0
2020-01-01,128451.0
2021-01-01,129224.0
2022-01-01,131202.0
2023-01-01,131434.0
